CountryCode,ProvinceCode,ProvinceName,City,Lat,Lon
RS,RS,セルビア,ベオグラード,44.8107948,20.4625572
KN,KN,セントキッツ,バセテール,17.2956212,-62.7251258
VC,VC,セントビンセント・グレナディーン,キングスタウン,13.1547518,-61.2245362
LC,LC,セントルシア,カストリーズ,14.0098124,-60.9897053
SO,SO,ソマリア,モガディシオ,2.0348901,45.3418305
SB,SB,ソロモン諸島,ホニアラ,-9.4353695,159.9633082
TH,TH,タイ,バンコク,13.7538189,100.5018236
TW,TW,台湾,台北（タイペイ）,25.0375417,121.5644327
TJ,TJ,タジキスタン,ドゥシャンベ,38.5597722,68.7870384
TZ,TZ,タンザニア,ドドマ,-6.1785745,35.7508803
CZ,CZ,チェコ,プラハ,50.0782622,14.4212465
TD,TD,チャド,ウンジャメナ,12.1052915,15.0448322
CF,CF,中央アフリカ,バンギ,4.3635651,18.5836076
CN,CN,中国,北京（ペキン）,39.9046496,116.7184868
TN,TN,チュニジア,チュニス,36.7974237,10.1659935
CL,CL,チリ,サンティアゴ,-33.4371435,-70.6502521
TV,TV,ツバル,フナフティ,-8.5243806,179.194428
DK,DK,デンマーク,コペンハーゲン,55.6752833,12.5701632
DE,DE,ドイツ,ベルリン,52.5182775,13.4086443
TG,TG,トーゴ,ロメ,6.1310843,1.2153581
DO,DO,ドミニカ共和国,サントドミンゴ,18.4482387,-69.9269311
DM,DM,ドミニカ国,ロゾー,15.3015543,-61.3860266
TT,TT,トリニダード・トバゴ,ポートオブスペイン,10.6540471,-61.5097941
TM,TM,トルクメニスタン,アシガバット,37.9468045,58.3547629
TR,TR,トルコ,アンカラ,39.9395921,32.8382867
TO,TO,トンガ,ヌクアロファ,-21.1327551,-175.1987143
NG,NG,ナイジェリア,アブジャ,9.0476037,7.5020739
NR,NR,ナウル,ヤレン,-0.5473977,166.917381
NA,NA,ナミビア,ウィントフック,-22.5716018,17.0855789
NU,NU,ニウエ,アロフィ,-19.0550536,-169.9212245
NI,NI,ニカラグア,マナグア,12.1280927,-86.2956727
NE,NE,ニジェール,ニアメ,13.5138169,2.1091785
NZ,NZ,ニュージーランド,ウェリントン,-41.2893299,174.7774235
NP,NP,ネパール,カトマンズ,27.6987726,85.3120666
NO,NO,ノルウェー,オスロ,59.9121487,10.7337252
BH,BH,バーレーン,マナーマ,26.2334989,50.5720162
HT,HT,ハイチ,ポルトープランス,18.5504522,-72.3472422
PK,PK,パキスタン,イスラマバード,33.6669681,73.0108131
VA,VA,バチカン,バチカン,41.9022141,12.4511559
PA,PA,パナマ,パナマシティ,8.9709043,-79.5347442
VU,VU,バヌアツ,ポートビラ,-17.7365128,168.3150308
BS,BS,バハマ,ナッソー,25.0696963,-77.381829
PG,PG,パプアニューギニア,ポートモレスビー,-9.4400735,147.1799135
PW,PW,パラオ,マルキョク,7.4924429,134.6363182
PY,PY,パラグアイ,アスンシオン,-25.3043626,-57.5595886
BB,BB,バルバドス,ブリッジタウン,13.1012839,-59.5994742
HU,HU,ハンガリー,ブダペスト,47.507121,19.045669
BD,BD,バングラデシュ,ダッカ,23.711335,90.4113704
TL,TL,東ティモール,ディリ,-8.5558455,125.5542215
FJ,FJ,フィジー,スバ,-18.141372,178.4230519
PH,PH,フィリピン,マニラ,14.5895137,120.9816112
FI,FI,フィンランド,ヘルシンキ,60.1680707,24.952989
BT,BT,ブータン,ティンプー,27.4687211,89.6395567
BR,BR,ブラジル,ブラジリア,-15.7845812,-47.9079509
FR,FR,フランス,パリ,48.8564826,2.3524135
BG,BG,ブルガリア,ソフィア,42.6969843,23.331701
BF,BF,ブルキナファソ,ワガドゥグー,12.3680826,-1.527066
BN,BN,ブルネイ,バンダルスリブガワン,4.9144004,114.930591
BI,BI,ブルンジ,ブシュンブラ,-3.3751554,29.3642066
VN,VN,ベトナム,ハノイ,21.0282935,105.8542103
BJ,BJ,ベナン,ポルトノボ,6.4726571,2.6420373
VE,VE,ベネズエラ,カラカス,10.5049943,-66.9150848
BY,BY,ベラルーシ,ミンスク,53.8952131,27.5497696
BZ,BZ,ベリーズ,ベルモパン,17.2514006,-88.7679617
PE,PE,ペルー,リマ,-12.0452322,-77.0311674
BE,BE,ベルギー,ブリュッセル,50.8465882,4.3518717
PL,PL,ポーランド,ワルシャワ,52.2317616,21.0061014
BA,BA,ボスニア・ヘルツェゴビナ,サラエボ,43.8589239,18.4334395
BW,BW,ボツワナ,ハボローネ,-24.6581844,25.9199318
BO,BO,ボリビア,ラパス,-16.4981187,-68.1339763
PT,PT,ポルトガル,リスボン,38.7081851,-9.1385651
HN,HN,ホンジュラス,テグシガルパ,14.111096,-87.176558
MH,MH,マーシャル諸島,マジュロ,7.0858399,171.3732812
MG,MG,マダガスカル,アンタナナリボ,-18.9052409,47.5236879
MW,MW,マラウイ,リロングウェ,-13.9585607,33.790053
ML,ML,マリ,バマコ,12.6471316,-8.001597
MT,MT,マルタ,バレッタ,35.8982566,14.5134142
MY,MY,マレーシア,クアラルンプール,3.152362,101.6940229
FM,FM,ミクロネシア,パリキール,6.9202502,158.16205
